player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
364900%,AS Roy,Left hand Bat,Slow Left arm Orthodox, ,Anukul Sudhakar Roy,Anukul Sudhakar,
1201300%,AS Yadav,Right hand Bat,Right arm Offbreak, ,Arjun Shivlal Yadav,Arjun Shivlal,
1045600%,Ashutosh Sharma,Right hand Bat,NULL,NULL,Ashutosh Sharma,Ashutosh Sharma,https://www.espncricinfo.com/cricketers/ashutosh-sharma-1131978
4178500%,Ashwani Kumar,Left hand Bat,Left arm Medium,NULL,Ashwani Kumar,Ashwani Kumar,https://www.espncricinfo.com/cricketers/ashwani-kumar-1209126
440600%,AT Carey,Left hand Bat, ,Wicketkeeper,Alex Tyson Carey,Alex Tyson,
2700%,AT Rayudu,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper,Ambati Thirupathi Rayudu,Ambati Thirupathi,
877300%,Atharva Taide,Left hand Bat,Slow Left arm Orthodox, ,Atharva Taide,Atharva Taide,https://www.espncricinfo.com/cricketers/atharva-taide-1125958
652000%,AU Rashid,Right hand Bat,Legbreak, ,Adil Usman Rashid,Adil Usman,
1582900%,AUK Pathan,Right hand Bat,Right arm Medium, ,Asad Ullah Khan Pathan,Asad Ullah,
128600%,Avesh Khan,Right hand Bat,Right arm Fast medium, ,Avesh Khan,Avesh Khan,https://www.espncricinfo.com/cricketers/avesh-khan-694211
3481700%,Azhar Mahmood,Right hand Bat,Right arm Fast medium, ,Azhar Mahmood Sagar,Azhar Mahmood,
1015200%,Azmatullah Omarzai,Right hand Bat,Right arm Medium fast,NULL,Azmatullah Omarzai,Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429
1193600%,B Akhil,Right hand Bat,Right arm Medium fast, ,Balachandra Akhil,Balachandra Akhil,
1223800%,B Chipli,Right hand Bat,Right arm Medium, ,Bharat Chipli,Bharat Chipli,
1198300%,B Geeves,Right hand Bat,Right arm Fast medium, ,Brett Geeves,Brett Geeves,
753900%,B Indrajith,Right hand Bat,Legbreak Googly, ,Baba Indrajith,Baba Indrajith,
2000%,B Kumar,Right hand Bat,Right arm Medium, ,Bhuvneshwar Kumar Singh,Bhuvneshwar Kumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
145200%,B Laughlin,Right hand Bat,Right arm Fast medium, ,Ben Laughlin,Ben Laughlin,
1195900%,B Lee,Right hand Bat,Right arm Fast, ,Brett Lee,Brett Lee,
699900%,B Sai Sudharsan,Left hand Bat,Legbreak, ,Bhardwaj Sai Sudharsan,Bhardwaj Sai,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Sai%20Sudharsan.png
17600%,B Stanlake,Left hand Bat,Right arm Fast, ,Billy James Stanlake,Billy James,
1536800%,B Sumanth,Right hand Bat,Right arm Medium fast, ,Bodapati Apparao Sumanth,Bodapati Apparao,
1586700%,BA Bhatt,Left hand Bat,Slow Left arm Orthodox, ,Bhargav Ashok Bhatt,Bhargav Ashok,
3700%,BA Stokes,Left hand Bat,Right arm Fast medium, ,Benjamin Andrew Stokes,Benjamin Andrew,
19600%,Basil Thampi,Right hand Bat,Right arm Fast medium, ,Basil Thampi,Basil Thampi,
1308300%,BAW Mendis,Right hand Bat,Right arm Offbreak, ,Balapuwaduge Ajantha Winslow Mendis,Balapuwaduge Ajantha,
4600%,BB McCullum,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper,Brendon Barrie McCullum,Brendon Barrie,
3514600%,BB Samantray,Right hand Bat,Right arm Medium, ,Biplab Bipin Samantray,Biplab Bipin,
49400%,BB Sran,Left hand Bat,Left arm Medium, ,Barinder Balbirsingh Sran,Barinder Balbirsingh,
1700%,BCJ Cutting,Right hand Bat,Right arm Fast medium, ,Benjamin Colin James Cutting,Benjamin Colin,
3854800%,BE Hendricks,Left hand Bat,Left arm Fast medium, ,Beuran Eric Hendricks,Beuran Eric,
1900%,Bipul Sharma,Left hand Bat,Slow Left arm Orthodox, ,Bipul Sharma,Bipul Sharma,
1627600%,BJ Haddin,Right hand Bat, ,Wicketkeeper,Bradley James Haddin,Bradley James,
1231800%,BJ Hodge,Right hand Bat,Right arm Offbreak, ,Bradley John Hodge,Bradley John,
3631100%,BJ Rohrer,Left hand Bat, ,Occasional Wicketkeeper,Ben James Rohrer,Ben James,
4388100%,BKG Mendis,Right hand Bat,Legbreak,NULL,Kusal Mendis,Kusal Mendis,
3606900%,BMAJ Mendis,Left hand Bat,Legbreak, ,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,Balapuwaduge Manukulasuriya,
3797900%,BR Dunk,Left hand Bat,Right arm Offbreak,Wicketkeeper,Ben Robert Dunk,Ben Robert,
1054800%,BR Sharath,Right hand Bat,NULL,Wicketkeeper,Belur Ravi Sharath,Belur Ravi,
